gene_names,tau,std,stat,rej,pvalue,padj,pvalue_emp_null_adj,padj_emp_null_adj
CUZD1,0.15861264803599165,0.10555278943243294,1.502685517728773,0.0,0.13672416616333924,0.4111187453068982,0.3363017634761065,0.9891264474800422
GPR87,-0.8621649459533672,0.11934732961285917,-7.2239986328145935,0.0,4.5116274590871596e-10,9.296861931449638e-08,1.0058142933225315e-05,0.002150092554314604
PLA2G12B,0.3240597086411215,0.21663677453135155,1.4958665690169966,0.0,0.13863999533999677,0.4146215024719145,0.3386387707242823,0.9912763531171892
ZNF365,0.16241058507217476,0.10356761900586522,1.5681598807729389,0.0,0.12093069920117089,0.38631953670787456,0.31562428075191995,0.9846754602732904
ADAMTS14,-0.15873798595248387,0.22065444699968376,-0.7193962691933028,0.0,0.47404187961855393,0.7492233217603085,0.6255328900944144,0.9972311548296766
DNA2,0.15901267254326684,0.07003887950357401,2.2703486073781716,0.0,0.02584708200771078,0.1545112285619579,0.1453086593078446,0.8484263236796307
MYPN,0.44794725286378395,0.17475387868253378,2.5633036373261064,0.0,0.012320704838339597,0.09605026645103668,0.10046719586420445,0.7619696204572092
AOX1,0.15986601113056734,0.2955005847079076,0.5410006592325004,0.0,0.5900269589749614,0.8236112364885012,0.737374113489508,0.9972311548296766
MSTN,0.38489753507736546,0.1531824246237146,2.512674257656178,0.0,0.013945966272369499,0.10413283237156756,0.10707406945619749,0.7762574971897647
CDK15,-0.5917877598103932,0.156479728814487,-3.7818812973019744,0.0,0.00029629139619104564,0.0066572427358327965,0.014504769923644608,0.3281578659382029
MDH1B,-0.15249350674122025,0.1135071079633199,-1.343470990296915,0.0,0.18278522741075878,0.4780295571194015,0.3711584809808237,0.9951812259454075
CHRNA1,0.053018421541852184,0.19712410092232996,0.268959611198137,0.0,0.7886391559709875,0.9184395101423897,0.8747452405290755,0.9972311548296766
GUCA1C,0.19185594265844597,0.35260329551665465,0.5441127326315189,0.0,0.587822694746474,0.8223908799887516,0.735800216089209,0.9972311548296766
CCDC54,0.7453434499272202,0.383520497441169,1.9434253316318613,0.0,0.05535766524185089,0.2454819459241674,0.2125998776489197,0.9204545073224246
PARP16,0.1535355938456603,0.054924934426249405,2.7953714546864066,0.0,0.0064567810332384805,0.06295223894853529,0.07322302729094854,0.6912217512281741
HCN4,0.23720849419387371,0.1720052642548036,1.379076944078176,0.0,0.17244534034726494,0.46484554493134134,0.3787443779412186,0.9970394160578695
PCDH10,0.10912983781872691,0.07455753843851898,1.4636995816153004,0.0,0.14710138806443426,0.4273656864216696,0.3491891108521412,0.9918971311517639
ZGRF1,-0.0002665354381464068,0.07084323197621023,-0.003762327475910637,0.0,0.997007172169551,0.998278838592382,0.9835335009514655,0.9982411149832655
PRKG2,-0.2537036503116211,0.11402123506510937,-2.2250561499947716,0.0,0.028791731034747185,0.16588243424629026,0.14339112415152447,0.8453509487418767
FGF5,-0.07237016251269528,0.11120159985079434,-0.6508014507866662,0.0,0.5170155529965637,0.7800683371025225,0.6575184753109611,0.9972311548296766
BMPR1B,-0.21161212217732184,0.1648463263698448,-1.283693284753914,0.0,0.20378117789279854,0.5050296594143462,0.3929394264768997,0.9972311548296766
TRPC3,-0.28046747644155534,0.16415737072246978,-1.7085280740498916,0.0,0.09140310118111777,0.330226367606335,0.25827268939343984,0.9559664791134006
CDKL2,-0.00951359108204235,0.05702555567384426,-0.16683030914165947,0.0,0.8679415206307698,0.9485939748317205,0.8987751642369153,0.9972311548296766
EGF,-0.2296417801584997,0.15269062185171536,-1.50396781003037,0.0,0.1368384026349113,0.41134246070026625,0.31844039390037904,0.985275570666833
SLC39A8,0.11589542050909792,0.1462314406404527,0.7925478953192862,0.0,0.4304628315647612,0.7177413869646291,0.6174699517876912,0.9972311548296766
MTTP,0.17139239762108285,0.26814688866776387,0.6391735457853452,0.0,0.5250341501994555,0.7851923029984853,0.6898625476898852,0.9972311548296766
FBN2,-0.041389392042906564,0.2014312903798837,-0.2054764776855145,0.0,0.837755265065693,0.9369093860141694,0.8788309078898946,0.9972311548296766
SHISAL1,0.061802842815267725,0.08034978063932378,0.7691725145173695,0.0,0.4440061232786263,0.7283911173401698,0.6281730231768365,0.9972311548296766
B4GALNT3,0.1253811628984206,0.08478080150829095,1.4788862651429313,0.0,0.142966951045802,0.4218373414951792,0.34411576387272635,0.9918971311517639
PDE6H,0.16426789674506068,0.20590958391288713,0.7977671248879628,0.0,0.42764443637944627,0.7154329710366776,0.6151922193370949,0.9972311548296766
ALG10,-0.02739272804089614,0.11127481386335886,-0.24617186126712684,0.0,0.8061593274281049,0.9244138114133977,0.8578620809137665,0.9972311548296766
PIK3C2G,-0.2608527489747507,0.16593883761303602,-1.5719812958015944,0.0,0.12003540477217757,0.3849649205487966,0.2974322249328084,0.976344328485667
PLCZ1,-0.5936388670433316,0.3271540856203107,-1.8145543434609541,0.0,0.07323003609273972,0.29118186570196175,0.23046819742958569,0.9395374909299289
SLCO1C1,0.5677067603380453,0.20294354266348055,2.7973630147937865,0.0,0.0064730457114537095,0.06305705901110761,0.07316442864639053,0.6912217512281741
TMEM117,-0.044576745754789086,0.05728940163927496,-0.7780975970995189,0.0,0.4390589410316129,0.7243649133162207,0.5988080272372718,0.9972311548296766
PIANP,-0.021237105590976732,0.07844380068669576,-0.27073019671494053,0.0,0.7873901067788677,0.917752441518194,0.8453617335931549,0.9972311548296766
SLC38A4,-0.16665415223117333,0.34259035368191265,-0.4864531369318936,0.0,0.6279319729850823,0.8431058402602817,0.7368087282819558,0.9972311548296766
PPFIA2,0.10762330137454892,0.050272487927491956,2.140799188808282,0.0,0.03525231443248068,0.18795482238091624,0.16963353279996093,0.8826268871095329
TPH2,0.000698196111342227,0.14786166548925067,0.0047219548693165836,0.0,0.9962450613553515,0.9978294837241323,0.9879622753513069,0.9986796572144134
LGR5,0.2238126773171061,0.18150813783253136,1.2330724120127718,0.0,0.22113285055132337,0.5258312336431226,0.4316576320212856,0.9972311548296766
PTPRQ,-0.1022786215670249,0.11035062547249477,-0.9268513080835972,0.0,0.3569715386920682,0.6582031442566446,0.5332147244192309,0.9972311548296766
AMDHD1,-0.11909467532793926,0.26750202324833566,-0.4452103721749336,0.0,0.6573316554165407,0.8588077314412826,0.7572116583823292,0.9972311548296766
SYCP3,-0.04680493125555283,0.08579603494533511,-0.5455372300756621,0.0,0.5868708736433027,0.8217305983490417,0.7079227769707561,0.9972311548296766
ASCL1,-0.006893619287721563,0.1961465094769647,-0.03514525599310318,0.0,0.972065854491154,0.987900876309527,0.967192158580577,0.9973902057670463
TMEM132B,-0.030691709574000105,0.042940778906872853,-0.7147450594820898,0.0,0.4767854807121502,0.7507016911114249,0.6276124859302112,0.9972311548296766
